toplevel,item,article,block
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Dd1e665
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Qd1e588
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Qd1e615
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e769
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e713
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e762
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e781
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e710
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e720
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e698
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e704
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e723
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e729
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e741
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e747
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e756
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e784
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e787
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e790
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e794
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e804
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e807
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e810
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e813
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e817
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e820
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e829
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e832
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e835
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e838
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e847
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e850
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e853
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-d1e856
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Dd1e736
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Dd1e693
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Dd1e776
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Dd1e799
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Dd1e824
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Dd1e842
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Qd1e771
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Qd1e715
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e685,ta-l4d17q2-Qd1e764
